,ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
1,VTH,3.25,7.35,1.0m,0.0p,,2,3,2,2,2,2
3,ISGS,,100u,40.0,,,4,,4,4,,4
4,ISGS,,100u,40.0,,RV,5,,5,5,,5
5,VTH,4.25,6.35,1.0m,0.0p,,6,7,6,6,6,6
7,ABSDEL,,0.1,2.0,6.0,,8,,8,8,8,8
8,ICES,,2u,550.0,,,9,,9,9,,9
9,ICES,,2u,660.0,,,10,,10,10,,10
10,ABSDEL,,1.5u,10.0,9.0,,11,,11,11,11,11
11,BVCES,670,,250.0u,,,12,12,,12,,12
12,BVCES,680,,1.0m,,,13,13,,13,,13
13,BVCES,670,,250.0u,,,14,14,,14,,14
14,BVCES,670,,250.0u,,,15,15,,15,,15
15,ABSDEL,,30,13.0,12.0,,16,,16,16,16,16
16,HVDSON,1.45,2.05,75.0,15.0,,17,19,18,17,17,17
19,VFEC,0.25,0.45,100.0u,0.0p,,20,21,20,20,20,20
21,VFEC,0.9,1.7,7.5,0.0p,,22,23,22,22,22,22
23,HVFEC,1.6,2.4,75.0,0.0p,RV,24,28,27,24,24,24
28,ICES,,2u,650.0,,,29,,29,29,,29
29,ISGS,,90n,20.0,,,30,,30,30,,30
30,ISGS,,90n,20.0,,RV,31,,31,31,,31
