,ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
1,VTH,2.6,,250.0u,0.0p,,2,3,2,2,2,2
3,ISGS,,9.9m,50.0,5.0m,,4,,4,4,4,4
4,ISGS,,9.9m,50.0,5.0m,RV,5,,5,5,5,5
5,ISGS,,70N,30.0,1.0u,,6,,6,6,6,6
6,ISGS,,70N,30.0,1.0u,RV,7,,7,7,7,7
7,BVDSS,808,,250.0u,990.0,,8,8,,8,8,8
9,BVDSS,808,,250.0u,990.0,,10,10,,10,10,10
11,BVDSS,808,,1.0m,990.0,,12,12,,12,12,12
13,BVDSS,808,,10.0m,990.0,,14,14,,14,14,14
15,BVDSS,808,,25.0u,990.0,,16,16,,16,16,16
17,ABSDEL,,,10.0,8.0,,18,,18,18,18,18
18,ABSDEL,,,10.0,16.0,,19,,19,19,19,19
19,ABSDEL,,5,10.0,12.0,,20,,20,20,20,20
20,DIVID,,,12.0,10.0,,21,22,21,21,21,21
22,DIVID,,,14.0,12.0,,23,24,23,23,23,23
24,VTH,2.6,4.4,250.0u,0.0p,,25,26,25,25,25,25
26,ABSDEL,,0.2,2.0,25.0,,27,,27,27,27,27
27,RDON,,4.3,1.0,10.0,,28,29,28,28,28,28
29,RDON,,4.3,1.5,10.0,,30,31,30,30,30,30
31,VFSD,,1.2,1.0,0.0p,,32,,32,32,32,32
32,VFSD,,1.2,3.0,0.0p,,33,33,34,33,33,33
34,IDSS,,100n,800.0,1.0u,,35,,35,35,35,35
35,ISGS,,70n,30.0,1.0u,,36,,36,36,36,36
36,ISGS,,70n,30.0,1.0u,RV,37,,37,37,37,37
