,ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
1,VTH,4,7,5.0m,0.0p,,2,3,2,2,2,2
3,ISGS,,100u,40.0,,,4,,4,4,,4
4,ISGS,,100u,40.0,,RV,5,,5,5,,5
5,VTH,4.5,6.5,5.0m,0.0p,,6,7,6,6,6,6
7,ABSDEL,,0.1,2.0,6.0,,8,,8,8,8,8
8,ICES,,2u,600.0,,,9,,9,9,,9
9,ICES,,2u,610.0,,,10,,10,10,,10
10,ABSDEL,,1.5u,10.0,9.0,,11,,11,11,11,11
11,BVCES,610,,250.0u,,,12,12,,12,,12
13,BVCES,610,,1.0m,,,14,14,,14,,14
15,BVCES,610,,250.0u,,,16,16,,16,,16
17,BVCES,610,,250.0u,,,18,18,,18,,18
19,HVDSON,1.5,1.95,50.0,15.0,,20,21,20,20,20,20
21,VFEC,0.15,0.55,100.0u,0.0p,,22,23,22,22,22,22
23,VFEC,0.7,1.3,5.0,0.0p,,24,25,24,24,24,24
25,HVFEC,1.1,2.2,50.0,0.0p,RV,26,27,26,26,26,26
27,ICES,,2u,600.0,,,28,,28,28,,28
28,ISGS,,90n,25.0,,,29,,29,29,,29
29,ISGS,,90n,25.0,,RV,30,,30,30,,30
