,ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
1,VTH,4.4,8.3,20.0m,0.0p,,2,3,2,2,2,2
3,ISGS,,100u,40.0,,,4,,4,4,,4
4,ISGS,,100u,40.0,,RV,5,,5,5,,5
5,VTH,4.75,7.05,20.0m,0.0p,,6,7,6,6,6,6
7,ABSDEL,,0.1,2.0,6.0,,8,,8,8,8,8
8,ISGS,,80n,20.0,,,9,,9,9,,9
9,ISGS,,80n,20.0,,RV,10,,10,10,,10
10,HVICES,,0.9u,1.08k,,,11,,11,11,,11
11,HVICES,,0.9u,1.28k,,,12,,12,12,,12
12,HVICES,,0.9u,1.37k,,,13,,13,13,,13
13,ABSDEL,,0.5u,12.0,11.0,,14,,14,14,14,14
14,ABSDEL,,0.7u,13.0,11.0,,15,,15,15,15,15
15,HVBCES,1.37k,,250.0u,,,16,16,,16,,16
16,HVBCES,1.37k,,1.0m,,,17,17,,17,,17
17,HVBCES,1.37k,,250.0u,,,18,18,,18,,18
18,HVBCES,1.37k,,250.0u,,,19,19,,19,,19
19,HVBCES,1.37k,,1.0m,,,20,20,,20,,20
20,HVDSON,1.5,2.05,30.0,15.0,,21,22,21,21,21,21
22,HVFEC,1.4,2.45,30.0,0.0p,RV,23,24,23,23,23,23
24,HVICES,,1u,1.35k,,,25,,25,25,,25
25,ISGS,,90n,20.0,,,26,,26,26,,26
26,ISGS,,90n,20.0,,RV,27,,27,27,,27
