,ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
1,VTH,3.7,,250.0u,0.0p,,2,3,,2,2,2
3,VTH,4.6,,25.0m,0.0p,,4,5,,4,4,4
5,ISGS,,100u,40.0,,,6,,6,6,,6
6,ISGS,,100u,40.0,,RV,7,,7,7,,7
7,VTH,4.6,6.9,25.0m,0.0p,,8,9,8,8,8,8
10,HVICES,,1u,1.2k,2.0u,,11,,11,11,11,11
11,HVDSON,1.5,2.2,25.0,15.0,,12,13,12,12,12,12
13,HVBCES,1.23k,,250.0u,,,14,14,,14,,14
14,HVBCES,1.23k,,1.0m,,,15,15,,15,,15
15,HVBCES,1.23k,,250.0u,,,16,16,,16,,16
16,HVBCES,1.23k,,250.0u,,,17,17,,17,,17
17,VFEC,0.2,0.5,100.0u,0.0p,,18,19,18,18,18,18
19,VFEC,0.9,1.4,2.5,0.0p,,20,21,20,20,20,20
21,HVFEC,1.65,2.65,25.0,0.0p,RV,22,23,22,22,22,22
23,HVICES,,1u,1.2k,,,24,,24,24,,24
24,ISGS,,90n,25.0,,,25,,25,25,,25
25,ISGS,,90n,25.0,,RV,26,,26,26,,26
