,ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
1,VTH,4.5,7.5,25.0m,0.0p,,2,3,2,2,2,2
3,ISGS,,100u,40.0,,,4,,4,4,,4
4,ISGS,,100u,40.0,,RV,5,,5,5,,5
5,ISGS,,90n,25.0,,,6,,6,6,,6
6,ISGS,,90n,25.0,,RV,7,,7,7,,7
7,HVICES,,1u,810.0,,,8,,8,8,,8
8,HVICES,,1u,1.01k,,,9,,9,9,,9
9,HVICES,,1.5u,1.21k,,,10,,10,10,,10
10,ABSDEL,,0.5u,9.0,8.0,,11,,11,11,11,11
11,ABSDEL,,0.7u,10.0,8.0,,12,,12,12,12,12
12,HVBCES,1.21k,,250.0u,,,13,13,,13,,13
13,HVBCES,1.21k,,1.0m,,,14,14,,14,,14
14,HVBCES,1.21k,,250.0u,,,15,15,,15,,15
15,HVBCES,1.21k,,250.0u,,,16,16,,16,,16
16,VTH,4.5,7.5,25.0m,0.0p,,17,18,17,17,17,17
18,ABSDEL,,0.1,2.0,17.0,,19,,19,19,19,19
19,HVDSON,1.7,2.2,25.0,15.0,,20,21,20,20,20,20
21,VFEC,0.25,0.45,100.0u,0.0p,,22,23,22,22,22,22
23,VFEC,0.95,1.45,2.5,0.0p,,24,25,24,24,24,24
25,HVFEC,1.7,2.9,25.0,0.0p,RV,26,27,26,26,26,26
27,HVICES,,1.5u,1.2k,,,28,,28,28,,28
28,ISGS,,90n,25.0,,,29,,29,29,,29
29,ISGS,,90n,25.0,,RV,30,,30,30,,30
